lr-SGD,step,train_loss,epoch,val_loss,val_acc
0.004229375747361028,49,,,,
,49,1.8420734405517578,0,,
0.004934024761946765,99,,,,
,99,1.688360333442688,0,,
0.006107030640911407,149,,,,
,149,1.5135408639907837,0,,
,156,,0,1.6113307476043701,0.40369999408721924
0.007736720719392659,199,,,,
,199,1.3954297304153442,1,,
0.00980687783560423,249,,,,
,249,1.538239598274231,1,,
0.012296901708965108,299,,,,
,299,1.3167680501937866,1,,
,313,,1,1.3456929922103882,0.5281000137329102
0.015182013934955788,349,,,,
,349,1.173516869544983,2,,
0.018433504556782346,399,,,,
,399,1.1652073860168457,2,,
0.022019017760196963,449,,,,
,449,1.1390022039413452,2,,
,470,,2,1.2050602436065674,0.5914999842643738
0.0259028738485048,499,,,,
,499,1.083181381225586,3,,
0.03004642429376146,549,,,,
,549,0.813433825969696,3,,
0.0344084363310211,599,,,,
,599,0.9494487643241882,3,,
,627,,3,1.546248197555542,0.5493000149726868
0.038945503268510734,649,,,,
,649,0.8335641026496887,4,,
0.04361247643070475,699,,,,
,699,0.8717332482337952,4,,
0.04836291443600355,749,,,,
,749,0.6576094627380371,4,,
,784,,4,1.220510721206665,0.6302000284194946
0.05314954533822241,799,,,,
,799,0.70294189453125,5,,
0.05792473703308715,849,,,,
,849,0.6176519393920898,5,,
0.06264097124868898,899,,,,
,899,0.7686777710914612,5,,
